projectName,unitName,epShort,samplingStartDate,plot,clipPlotNo,clipPlotMat,bagNo,grossDryWt_g,bagWt_g
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,Grass,1,42.1,5.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,Shrubs,1,18.3,5.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,Forbs/Herbaceous,1,8.4,5.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,Grass,1,90.4,46.2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,1,Forbs/Herbaceous,1,8.6,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,1,Grass,1,22.9,5.7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,1,Shrubs,1,130.3,46.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,1,Grass,1,117.5,45.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,1,Shrubs,1,148,41.7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,1,Forbs/Herbaceous,1,18.4,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,1,Grass,1,75.8,41.7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,6,1,Forbs/Herbaceous,1,6.9,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,6,1,Grass,1,36.5,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,1,Forbs/Herbaceous,1,10.4,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,1,Grass,1,89.2,25.4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,Forbs/Herbaceous,1,6.9,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,Grass,1,99.3,41.8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,1,Grass,1,107.8,34.2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,1,Shrubs,1,615.6,45.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,1,Forbs/Herbaceous,1,12.6,5.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,1,Grass,1,12.6,6.2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,1,Grass,1,101.9,47.3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,1,Forbs/Herbaceous,1,8.5,6.2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,1,Shrubs,1,282.8,47
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,1,Forbs/Herbaceous,1,23.7,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,1,Shrubs,1,51.1,22.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,1,Grass,1,183.6,46.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,1,Grass,1,224.6,26.6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,1,Shrubs,1,81.6,22.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,Shrubs,1,83.2,46.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,Grass,1,20.8,5.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,1,Forbs/Herbaceous,1,6.2,5.8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,1,Grass,1,141.1,46.4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,1,Grass,1,104.3,46.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,1,Forbs/Herbaceous,1,12.1,7.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,1,Shrubs,1,8.8,7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,1,Forbs/Herbaceous,1,12,9.7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,1,Grass,1,132.9,46
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,1,Forbs/Herbaceous,1,7.7,6.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,1,Grass,1,116.6,45.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,1,Shrubs,1,12.8,6.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,1,Grass,1,141.1,46.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,1,Grass,1,257.3,30.3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,1,Forbs/Herbaceous,1,10.2,5.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,Grass,1,52.9,6.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,Forbs/Herbaceous,1,12.4,7.1
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,1,Forbs/Herbaceous,1,7.44,6.91
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,1,Shrubs,1,15.64,6.93
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,1,Grass,1,112.63,41.61
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,2,1,Forbs/Herbaceous,1,71.94,53.81
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,3,1,Grass,1,6.36,6
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,4,1,Forbs/Herbaceous,1,12.78,6.87
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,4,1,Grass,1,112.78,53.55
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,5,1,Forbs/Herbaceous,1,7.36,6.93
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,5,1,Grass,1,67.33,10.05
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,8,1,Forbs/Herbaceous,1,8.6,7.05
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,8,1,Grass,1,102.45,41.94
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,10,1,Forbs/Herbaceous,1,8.12,7.1
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Shrubs,1,271.54,42.11
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Forbs/Herbaceous,1,15.68,10.02
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Grass,1,99.37,42.61
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Grass,2,13.87,9.9
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Shrubs,2,258.73,42.42
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,1,Shrubs,3,518.43,42.21
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,13,1,Shrubs,1,17.11,10.07
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,13,1,Grass,1,13.19,7.13
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,14,1,Grass,1,8.23,6.03
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,14,1,Forbs/Herbaceous,1,6.9,5.99
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,15,1,Grass,1,10.79,7.1
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,15,1,Forbs/Herbaceous,1,7.59,7.04
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,16,1,Shrubs,1,9.3,7.12
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,16,1,Grass,1,11.1,7.16
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,17,1,Grass,1,21,10.01
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,18,1,Forbs/Herbaceous,1,8.19,6.01
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,18,1,Grass,1,14.13,6.01
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,19,1,Forbs/Herbaceous,1,9.33,6.04
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,19,1,Grass,1,17.76,6.05
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,20,1,Grass,1,8.8,5.99
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,1,Shrubs,1,62.9,46.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,1,Forbs/Herbaceous,1,6.7,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,1,Grass,1,10.7,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,1,Forbs/Herbaceous,1,23.6,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,1,Shrubs,1,22.6,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,1,Grass,1,26.8,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,Shrubs,1,90.5,41.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,Forbs/Herbaceous,1,19.8,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,Grass,1,124.3,46
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,Grass,1,196.6,41.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,1,Shrubs,1,9.4,5.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,1,Forbs/Herbaceous,1,23.1,5.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,1,Grass,1,94.5,41.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,1,Grass,1,21.6,5.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,1,Shrubs,1,26.4,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,1,Grass,1,10.9,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,1,Shrubs,1,260.5,45.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,1,Forbs/Herbaceous,1,8.6,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,1,Grass,1,17.4,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,1,Shrubs,1,79.7,44.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,1,Forbs/Herbaceous,1,9.1,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,1,Grass,1,78.8,46.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,1,Shrubs,1,9.2,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,Forbs/Herbaceous,1,20.8,6.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,Grass,1,28.3,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,Shrubs,1,240.9,46.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,Shrubs,1,284.4,45.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,Shrubs,1,211.6,46.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,1,Forbs/Herbaceous,1,11.8,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,1,Grass,1,13.5,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,1,Shrubs,1,89.7,46.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,1,Forbs/Herbaceous,1,16.4,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,1,Shrubs,1,12.2,5.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,1,Grass,1,26.7,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,1,Shrubs,1,213.5,45.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,1,Grass,1,9.9,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,1,Forbs/Herbaceous,1,17.1,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,1,Shrubs,1,20.3,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,1,Grass,1,20.6,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,1,Shrubs,1,7.7,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,1,Grass,1,19.1,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,1,Forbs/Herbaceous,1,7.1,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,1,Shrubs,1,24,6.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,1,Shrubs,1,65.3,46.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,1,Grass,1,9.2,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,1,Forbs/Herbaceous,1,16.5,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,1,Forbs/Herbaceous,1,13.5,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,1,Shrubs,1,17.4,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,1,Shrubs,1,12.7,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,1,Forbs/Herbaceous,1,7.6,5.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,1,Grass,1,8.4,5.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,1,Shrubs,1,8.1,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,1,2,Grass,1,54.1,46.1
Washington DNR Pilot Project,Angel,POST,8-Oct-16,1,2,Forbs/Herbaceous,1,15.9,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,2,2,Forbs/Herbaceous,1,6.2,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,6,2,Grass,1,11.3,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,6,2,Shrubs,1,38,6
Washington DNR Pilot Project,Angel,POST,8-Oct-16,6,2,Forbs/Herbaceous,1,12.3,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,9,2,Shrubs,1,58.5,46
Washington DNR Pilot Project,Angel,POST,8-Oct-16,9,2,Grass,1,12.4,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,9,2,Forbs/Herbaceous,1,6.4,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,10,2,Forbs/Herbaceous,1,10.7,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,10,2,Shrubs,1,10.2,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,11,2,Shrubs,1,135.9,46
Washington DNR Pilot Project,Angel,POST,8-Oct-16,12,2,Shrubs,1,50,45.5
Washington DNR Pilot Project,Angel,POST,8-Oct-16,13,2,Grass,1,6.5,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,13,2,Shrubs,1,7.2,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,14,2,Forbs/Herbaceous,1,8.1,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,14,2,Shrubs,1,10,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,15,2,Shrubs,1,7.3,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,16,2,Grass,1,6.3,5.8
Washington DNR Pilot Project,Angel,POST,8-Oct-16,16,2,Shrubs,1,6.1,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,18,2,Forbs/Herbaceous,1,10,5.9
Washington DNR Pilot Project,Angel,POST,8-Oct-16,18,2,Shrubs,1,193.1,46.1
Washington DNR Pilot Project,Angel,POST,8-Oct-16,18,2,Shrubs,1,238.3,45.6
Washington DNR Pilot Project,Angel,POST,8-Oct-16,19,2,Shrubs,1,80.9,45.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,1,Shrubs,1,99,46.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,1,Shrubs,1,22.1,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,1,Shrubs,1,23.5,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,1,Shrubs,1,137.8,46.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,1,Grass,1,9.4,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,1,Forbs/Herbaceous,1,7.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,1,Shrubs,1,12.6,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,1,Grass,1,10.4,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,1,Forbs/Herbaceous,1,90.4,46.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,1,Grass,1,11.2,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,1,Forbs/Herbaceous,1,14.8,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,1,Shrubs,1,33.8,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,1,Shrubs,1,27.9,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,1,Grass,1,10.1,5.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,1,Forbs/Herbaceous,1,10.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,1,Grass,1,125.5,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,1,Forbs/Herbaceous,1,10.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,Forbs/Herbaceous,1,10.3,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,Grass,1,23.6,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,1,Shrubs,1,83.3,46.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,1,Grass,1,97,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,Shrubs,1,149.4,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,Forbs/Herbaceous,1,8.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Grass,1,106.5,46.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Forbs/Herbaceous,1,7.8,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Shrubs,1,15.6,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,Shrubs,1,15.5,7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,Grass,1,78,45.6
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,3,1,Shrubs,1,189,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,8,1,Shrubs,1,60.4,57.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,1,Forbs/Herbaceous,1,9,6.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,1,Shrubs,1,9.2,6.4
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,1,Shrubs,1,11.2,6.9
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,1,Forbs/Herbaceous,1,8,5.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,1,Shrubs,1,59.9,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,1,Forbs/Herbaceous,1,61.5,42.5
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,1,Grass,1,13.6,7.1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,1,Forbs/Herbaceous,1,11.8,7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Grass,1,74.4,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Forbs/Herbaceous,1,13.6,6
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Shrubs,1,80.8,46.2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Shrubs,1,246.2,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Forbs/Herbaceous,1,7.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Shrubs,1,208.2,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Grass,1,114.9,46.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,2,1,Grass,1,25.2,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,1,Shrubs,1,10.4,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,1,Grass,1,9.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Grass,1,12.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Shrubs,1,143.2,44.1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Forbs/Herbaceous,1,11.1,7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,1,Shrubs,1,67.5,43.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Forbs/Herbaceous,1,9.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Grass,1,100.6,43.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Shrubs,1,19.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,Grass,1,148,44.2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,Forbs/Herbaceous,1,14.8,9.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,Grass,1,140.7,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,Forbs/Herbaceous,1,14.6,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Forbs/Herbaceous,1,11.5,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Grass,1,226.1,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Shrubs,1,89.5,43.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,Grass,1,83,43.7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,Forbs/Herbaceous,1,7.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Shrubs,1,46.1,10
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Grass,1,176.5,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Forbs/Herbaceous,1,12,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Grass,1,171.8,46.7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Shrubs,1,28.1,7.1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Forbs/Herbaceous,1,15,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,Forbs/Herbaceous,1,11.5,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,Grass,1,181.8,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Grass,1,91.9,53.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Shrubs,1,48.2,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Forbs/Herbaceous,1,8.6,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,Forbs/Herbaceous,1,7.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,Grass,1,139.1,53.4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Shrubs,1,8.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Grass,1,10.1,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Forbs/Herbaceous,1,7.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,Grass,1,63.3,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,Forbs/Herbaceous,1,13.2,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Grass,1,70.8,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Forbs/Herbaceous,1,7.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Shrubs,1,42.7,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,Forbs/Herbaceous,1,14.1,9.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,Grass,1,130,46.4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Forbs/Herbaceous,1,8.5,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Grass,1,52.1,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Shrubs,1,17.6,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,1,2,Grass,1,71,46
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,2,2,Grass,1,8.5,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,7,2,Grass,1,79.2,46.2
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,7,2,Forbs/Herbaceous,1,11.7,5.8
