projectName,unitName,epShort,samplingStartDate,plot,transectNo,transectLength_ft,burned_ft,green_ft,mineralsoil_ft
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,66,42,23,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,66,8,58,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,2,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,3,66,21,44,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,1,66,58,7,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,2,66,34,32,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,3,66,55,11,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,1,66,52,4,10
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,2,66,16,50,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,3,66,61,5,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,1,66,10,56,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,66,14,52,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,3,66,3,63,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,6,1,66,63,2,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,6,2,66,56,3,7
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,6,3,66,47,16,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,1,66,64,0,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,2,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,3,66,56,10,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,66,65,1,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,2,66,63,0,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,3,66,61,5,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,1,66,32,34,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,66,37,29,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,66,28,36.5,1.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,1,66,55,10,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,66,54,12,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,3,66,40,26,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,1,66,64,2,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,2,66,57,5,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,3,66,53,11,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,1,66,34,30,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,2,66,27,39,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,3,66,31,35,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,1,66,7,53,6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,2,66,54,12,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,3,66,37,28,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,66,65,1,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,2,66,62,1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,3,66,63,0,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,1,66,65,1,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,2,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,3,66,58,8,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,1,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,2,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,3,66,32,31,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,1,66,62,4,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,2,66,64,2,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,3,66,66,0,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,1,66,11,55,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,2,66,63.5,2.5,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,18,3,66,63,3,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,1,66,64,0,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,2,66,53.5,5,7.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,3,66,19,47,0
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,66,56,1,9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,2,66,61,3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,3,66,62,4,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,2,66,25,40,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,3,66,63.5,0,2.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,1,66,64,0,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,2,66,49,14,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,3,66,57,2,7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,66,62,0,4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,2,66,42.5,2,21.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,1,66,64,2,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,3,66,25,40,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,1,66,2,27.5,36.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,2,66,8,58,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,3,66,22,3,41
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,1,66,40.5,22.5,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,2,66,9.5,44,12.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,3,66,56.5,0,9.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,1,66,62,1.5,2.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,2,66,27.5,38.5,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,2,66,36,28.5,1.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,3,66,63,0,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,1,66,46,14,6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,2,66,48,18,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,3,66,49,0,17
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,1,66,36,30,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,2,66,49,17,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,3,66,46,18,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,1,66,60,6,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,2,66,54,12,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,3,66,49,17,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,1,66,20,42,4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,3,66,36.5,27.5,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,2,66,38,6,22
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,3,66,22,3,41
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,1,66,64,2,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,2,66,55,10,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,3,66,28.5,5.5,32
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,1,66,53,3,10
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,2,66,8.5,5,52.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,3,66,0,49,17
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,1,66,65,0,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,2,66,48,17,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,3,66,44.5,10,12.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,1,66,61,0,5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,1,66,58,15,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,2,66,63,0,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,2,66,41.5,4.5,25.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,3,66,66,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,1,1,66,66,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,1,2,66,25,40,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,1,3,66,63.5,0,2.5
Washington DNR Pilot Project,Angel,POST,08-Oct-16,2,1,66,64,0,2
Washington DNR Pilot Project,Angel,POST,08-Oct-16,2,2,66,49,14,3
Washington DNR Pilot Project,Angel,POST,08-Oct-16,2,3,66,57,2,7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,1,66,66,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,2,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,3,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,1,66,47.5,12,6.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,2,66,37,39,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,3,66,70,6,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,1,66,70,0,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,2,66,54,12,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,3,66,65,0,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,1,66,3,18.5,64.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,2,66,41,25,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,3,66,25,51,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,1,66,54,8,4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,2,66,38.5,37.5,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,3,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,1,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,2,66,66,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,3,66,62.5,2.5,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,1,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,2,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,3,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,1,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,2,66,66,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,3,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,1,66,10,61,5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,2,66,47.5,26.5,2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,3,66,76,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,66,52,0,14
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,3,66,67,8,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,1,66,66,5,5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,2,66,28,26,12
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,3,66,32,44,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,1,66,20,36,20
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,2,66,49,17,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,3,66,11,19,36
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,66,29,29,8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,2,66,14,59,3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,3,66,59,2,5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,66,7,59,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,2,66,48.5,27.5,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,3,66,55.5,10.5,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,66,66,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,2,66,66,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,3,66,66,0,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,1,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,1,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,1,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,2,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,2,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,2,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,3,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,3,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,3,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,4,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,4,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,4,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,5,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,5,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,5,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,6,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,6,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,6,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,7,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,7,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,7,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,8,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,8,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,8,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,9,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,9,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,9,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,10,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,10,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,10,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,11,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,11,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,11,3,66,43.5,22.5,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,12,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,12,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,12,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,13,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,13,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,13,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,14,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,14,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,14,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,15,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,15,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,15,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,16,1,66,24,42,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,16,2,66,1.5,64.5,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,16,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,17,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,17,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,17,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,18,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,18,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,18,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,19,1,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,19,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,19,3,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,20,1,66,10,56,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,20,2,66,0,66,0
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,20,3,66,20,46,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,2,66,32,0,34
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,3,66,63,3,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,2,1,66,56,0,10
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,2,2,66,50,0,16
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,2,3,66,48,3,15
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,2,66,52.5,1.5,12
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,3,66,34.5,0,31.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,66,43,1,22
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,2,66,66,0,0
