projectName,unitName,epShort,samplingStartDate,plot,transectNo,transectLength_ft,burned_ft,green_ft,mineralsoil_ft
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,66,49,17,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,3,66,40,26,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,66,59,7,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,3,66,57,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,66,35,31,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,2,66,43.5,22.5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,3,66,35,31,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,66,60,6,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,3,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,66,50,15,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,66,42,29,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,2,66,54.5,11.5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,3,66,42,24,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,66,14,52,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,2,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,3,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,66,68.5,1,6.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,2,66,56,9,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,3,66,55.5,2.5,8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,66,57,0,9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,3,66,51,15,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,66,56,10,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,3,66,60,0,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,66,0,51,15
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,2,66,14.5,0,51.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,3,66,40.5,0,25.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,2,66,63.5,0,2.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,3,66,66,6,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,66,38,28,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,2,66,38,28,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,3,66,46,22,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,1,66,55,11,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,2,66,63,3,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,3,66,45,21,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,1,66,31,35,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,2,66,52,14,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,3,66,40,26,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,1,66,60,6,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,2,66,36,30,3
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,1,66,37.5,28.5,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,2,66,56,10,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,2,66,62,4,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,2,66,62,4,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,6,3,66,60,6,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,2,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,1,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,2,66,57,9,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,3,66,51,15,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,9,1,66,7,59,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,9,2,66,46,20,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,9,3,66,55.5,10.5,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,10,1,66,17.5,48.5,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,10,2,66,9,57,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,10,3,66,55,11,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,1,66,44,22,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,2,66,0,66,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,3,66,0,66,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,1,66,63,3,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,2,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,1,66,50,16,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,2,66,34,32,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,3,66,52,14,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,14,1,66,31,35,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,14,2,66,11,55,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,14,3,66,50,10,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,15,1,66,0,66,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,15,2,66,26,40,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,15,3,66,31,35,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,16,1,66,54,12,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,16,2,66,28,38,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,16,3,66,32.5,33.5,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,17,1,66,46,20,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,17,2,66,10,56,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,17,3,66,37,29,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,18,1,66,35,31,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,18,2,66,54,12,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,18,3,66,30,36,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,19,1,66,37,29,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,19,2,66,7,59,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,19,3,66,0,66,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,20,1,66,2,64,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,20,2,66,60,6,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,20,3,66,0,66,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,1,1,66,17,49,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,1,2,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,1,3,66,20.5,45.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,2,1,66,35,31,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,2,2,66,25,41,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,2,3,66,7,58.5,0.5
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,3,1,66,29,37,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,3,2,66,43,23,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,3,3,66,53,13,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,4,1,66,38.5,27.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,4,2,66,0,66,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,4,3,66,56,8,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,5,1,66,14,52,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,5,2,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,5,3,66,45,21,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,6,1,66,36,30,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,6,2,66,27.5,38.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,6,3,66,24,42,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,7,1,66,31.5,34.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,7,2,66,50,16,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,7,3,66,23.5,41.5,1
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,8,1,66,56,10,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,8,2,66,15,51,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,8,3,66,52,12,2
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,9,1,66,36,30,2
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,9,2,66,50,16,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,9,3,66,27,39,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,10,1,66,28.5,37.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,10,2,66,5.5,60.5,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,10,3,66,35,31,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,11,1,66,42,24,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,11,2,66,38,28,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,11,3,66,56,10,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,12,1,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,12,2,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,12,3,66,19,47,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,13,1,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,13,2,66,57,7,2
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,13,3,66,23,43,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,14,1,66,51,15,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,14,2,66,60,6,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,14,3,66,22,44,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,15,1,66,11,55,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,15,2,66,10,56,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,15,3,66,4,62,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,16,1,66,22,44,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,16,2,66,63,3,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,16,3,66,21,45,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,17,1,66,15,51,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,17,2,66,60,6,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,17,3,66,33,33,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,18,1,66,53,13,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,18,2,66,40,26,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,18,3,66,34,32,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,19,1,66,46,18,2
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,19,2,66,59,7,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,19,3,66,19,47,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,20,1,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,20,2,66,22,42,2
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,20,3,66,49,17,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,1,1,66,17,49,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,1,2,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,1,3,66,20.5,45.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,2,1,66,35,31,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,2,2,66,25,41,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,2,3,66,7,58.5,0.5
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,3,1,66,29,37,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,3,2,66,43,23,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,3,3,66,53,13,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,4,1,66,38.5,27.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,4,2,66,0,66,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,4,3,66,56,8,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,5,1,66,14,52,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,5,2,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,5,3,66,45,21,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,6,1,66,36,30,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,6,2,66,27.5,38.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,6,3,66,24,42,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,7,1,66,31.5,34.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,7,2,66,50,16,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,7,3,66,23.5,41.5,1
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,8,1,66,56,10,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,8,2,66,15,51,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,8,3,66,52,12,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,9,1,66,36,30,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,9,2,66,50,16,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,9,3,66,27,39,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,10,1,66,28.5,37.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,10,2,66,5.5,60.5,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,10,3,66,35,31,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,11,1,66,42,24,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,11,2,66,38,28,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,11,3,66,56,10,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,12,1,66,28,38,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,12,2,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,12,3,66,19,47,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,13,1,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,13,2,66,57,7,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,13,3,66,23,43,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,14,1,66,51,15,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,14,2,66,60,6,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,14,3,66,22,44,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,15,1,66,11,55,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,15,2,66,10,56,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,15,3,66,4,62,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,16,1,66,22,44,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,16,2,66,63,3,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,16,3,66,21,45,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,17,1,66,15,51,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,17,2,66,60,6,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,17,3,66,33,33,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,18,1,66,53,13,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,18,2,66,40,26,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,18,3,66,34,32,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,19,1,66,46,18,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,19,2,66,59,7,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,19,3,66,19,47,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,20,1,66,39,27,0
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,20,2,66,22,42,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,20,3,66,49,17,0
