projectName,unitName,epShort,samplingStartDate,plot,form,scientificName,tally
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Unknown species,10
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,sapling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,sapling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,tall shrub,Salix spp.,8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,seedling,Unknown species,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,seedling,Pinus ponderosa,12
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,seedling,Pseudotsuga menziesii,8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,seedling,Pinus ponderosa,13
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,4,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Unknown species,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,8,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,12,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,12,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,15,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,16,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,17,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,17,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,19,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,19,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,seedling,Pinus ponderosa,9
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,seedling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,tall shrub,Unknown species,5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,tall shrub,Acer macrophyllum,8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,seedling,Abies grandis,12
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,sapling,Abies grandis,4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,sapling,Abies grandis,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,20,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Angel,POST,08-Oct-16,2,tall shrub,Unknown species,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,6,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,7,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,7,seedling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Angel,POST,08-Oct-16,8,tall shrub,Acer macrophyllum,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,16,tall shrub,Pseudotsuga menziesii,10
Washington DNR Pilot Project,Angel,POST,08-Oct-16,18,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,2,seedling,Abies grandis,1
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,8,seedling,Abies grandis,2
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,8,seedling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,12,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,tall shrub,Abies grandis,5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,17,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,2,tall shrub,Pseudotsuga menziesii,8
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,15,tall shrub,Abies balsamea var. balsamea,8
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,1,tall shrub,Pseudotsuga menziesii,31
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,3,tall shrub,Pseudotsuga menziesii,33
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,4,tall shrub,Pseudotsuga menziesii,14
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,5,tall shrub,Pseudotsuga menziesii,48
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,6,tall shrub,Pseudotsuga menziesii,10
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,7,tall shrub,Pseudotsuga menziesii,14
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,8,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,8,tall shrub,Symphoricarpos albus,3
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,9,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,10,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,10,tall shrub,Pseudotsuga menziesii,21
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,12,tall shrub,Symphoricarpos albus,4
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,15,tall shrub,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,16,tall shrub,Amelanchier spp.,13
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,17,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,17,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,18,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,PRE,21-Aug-16,18,tall shrub,Pseudotsuga menziesii,17
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,1,tall shrub,Pseudotsuga menziesii,31
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,3,tall shrub,Pseudotsuga menziesii,33
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,4,tall shrub,Pseudotsuga menziesii,14
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,5,tall shrub,Pseudotsuga menziesii,48
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,6,tall shrub,Pseudotsuga menziesii,10
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,7,tall shrub,Pseudotsuga menziesii,14
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,8,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,8,tall shrub,Symphoricarpos albus,3
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,9,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,10,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,10,tall shrub,Pseudotsuga menziesii,21
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,12,tall shrub,Symphoricarpos albus,4
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,15,tall shrub,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,16,tall shrub,Amelanchier spp.,13
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,17,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,17,tall shrub,Pseudotsuga menziesii,6
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,18,tall shrub,Amelanchier spp.,1
Washington DNR Pilot Project,Hanlon,POST,18-Oct-16,18,tall shrub,Pseudotsuga menziesii,17
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,3,sapling,Thuja plicata,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,4,sapling,Abies grandis,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,4,sapling,Pinus monticola,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,4,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,4,seedling,Abies grandis,5
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,4,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,5,sapling,Abies grandis,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,5,tall shrub,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,6,seedling,Abies grandis,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,8,seedling,Abies grandis,2
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,12,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,13,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,16,seedling,Abies grandis,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,17,seedling,Abies grandis,1
Washington DNR Pilot Project,Natapoc 35,PRE,06-Oct-16,19,sapling,Abies grandis,5
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,1,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,1,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,3,seedling,Abies grandis,3
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,4,sapling,Abies grandis,8
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,5,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,5,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,5,seedling,Abies grandis,5
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,5,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,6,sapling,Abies grandis,2
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,6,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,7,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,7,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,7,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,7,seedling,Pseudotsuga menziesii,4
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,8,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,9,seedling,Abies grandis,3
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,18,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,18,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,19,sapling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,19,seedling,Abies grandis,1
Washington DNR Pilot Project,Oak Creek,PRE,02-Aug-16,20,sapling,Abies grandis,4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,sapling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,sapling,Abies grandis,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,sapling,Pinus contorta var. latifolia,4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,tall shrub,Unknown species,20
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,sapling,Pinus contorta var. latifolia,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,sapling,Abies grandis,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,sapling,Pseudotsuga menziesii,4
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,7,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,12,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,14,sapling,Pinus ponderosa,3
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,14,seedling,Abies grandis,1
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,19,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,19,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,19,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,19,tall shrub,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,seedling,Larix occidentalis,6
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,tall shrub,Acer spp.,18
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,7,tall shrub,Acer glabrum ssp. douglasii,2
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,8,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,10,seedling,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,10,tall shrub,Acer glabrum ssp. douglasii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,sapling,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,11,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,12,tall shrub,Rosa gymnocarpa,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,sapling,Pseudotsuga menziesii,5
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,seedling,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,seedling,Pseudotsuga menziesii,4
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,13,tall shrub,Acer glabrum ssp. douglasii,6
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,14,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,15,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,18,seedling,Pinus contorta var. latifolia,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,18,tall shrub,Unknown hardwood,9
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,19,tall shrub,Acer glabrum ssp. douglasii,10
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,20,sapling,Larix occidentalis,1
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,20,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,2,tall shrub,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,4,seedling,Larix occidentalis,5
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,5,tall shrub,Acer glabrum ssp. douglasii,18
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,8,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,10,seedling,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,11,sapling,Abies grandis,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,11,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,11,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,13,sapling,Larix occidentalis,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,13,sapling,Pseudotsuga menziesii,4
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,13,seedling,Abies grandis,11
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,13,tall shrub,Acer glabrum ssp. douglasii,6
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,14,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,15,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,15,seedling,Pseudotsuga menziesii,4
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,18,tall shrub,Prunus virginiana,9
Washington DNR Pilot Project,Paradise 90,POST,31-Oct-16,19,tall shrub,Acer glabrum ssp. douglasii,12
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,1,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,12,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,16,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Sherman Creek,PRE,22-Aug-16,19,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,1,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,10,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,Sherman Creek,POST,25-May-17,13,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,1,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,2,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,2,seedling,Pinus ponderosa,6
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,3,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,3,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,5,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,6,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,6,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,6,seedling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,8,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,10,sapling,Pinus ponderosa,7
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,10,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,10,seedling,Unknown species,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,11,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,11,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,13,sapling,Populus tremuloides,6
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,13,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,15,sapling,Pinus ponderosa,24
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,15,sapling,Pseudotsuga menziesii,5
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,15,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,16,sapling,Pinus ponderosa,5
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,16,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,17,sapling,Pinus ponderosa,3
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,17,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,17,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,18,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,18,seedling,Pinus ponderosa,13
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,18,seedling,Pseudotsuga menziesii,8
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,19,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,19,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,20,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,20,seedling,Pinus ponderosa,34
Washington DNR Pilot Project,Upper Rendezvous 1,PRE,07-Sep-16,20,seedling,Pinus ponderosa,56
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,4,tall shrub,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,5,seedling,Larix occidentalis,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,5,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,6,seedling,Unknown species,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,7,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,9,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,17,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,17,seedling,Pseudotsuga menziesii,7
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,18,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Vulcan,PRE,24-Aug-16,20,seedling,Pseudotsuga menziesii,2
