projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
Washington DNR Pilot Project,8 Mile Bottom,10,E,20,BS,5,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,W,3,GR,28,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,N,3,GR,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,W,20,GR,8,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,E,5,LP,16,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,S,6,LP,12,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,N,6,LP,15,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,N,6,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,N,7,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,S,7,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,S,8,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,W,8,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,E,9,LP,3,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,10,W,11,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,N,12,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,11,S,12,LP,42,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,S,14,LP,10,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,E,14,LP,12,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,E,15,LP,160,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,W,15,LP,27,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,N,16,LP,29,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,N,17,LP,25,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,N,19,LP,74,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,W,19,LP,7,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,E,19,LP,10,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,16,S,19,LP,4,MH,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,E,20,LP,44,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,S,20,LP,34,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,N,21,LP,33,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,S,21,LP,84,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,S,23,LP,25,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,W,23,LP,31,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,E,25,LP,5,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,W,26,LP,93,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,E,27,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,5,S,28,LP,21,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,S,28,LP,14,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,S,29,LP,58,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,W,29,LP,32,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,W,30,LP,52,BR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,E,31,LP,9,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,N,31,LP,22,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,E,32,LP,58,LP,Log,,
Washington DNR Pilot Project,8 Mile Bottom,16,N,32,LP,12,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,N,32,LP,51,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,2,W,35,LP,54,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,N,38,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,W,38,LP,20,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,16,E,38,LP,26,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,2,S,39,LP,48,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,W,42,LP,16,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,S,42,LP,8,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,E,49,LP,18,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,5,W,51,LP,20,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,2,E,52,LP,42,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,2,N,53,LP,140,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,W,53,LP,20,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,5,E,56,LP,12,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,S,66,LP,32,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,5,N,75,LP,25,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,W,0,NS,0,ND,Log,,
Washington DNR Pilot Project,8 Mile Bottom,10,S,0,NS,10,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,N,0,NS,0,ND,Log,,
Washington DNR Pilot Project,8 Mile Bottom,19,S,0,NS,0,ND,Log,,
Washington DNR Pilot Project,8 Mile Bottom,11,N,6,SF,10,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,14,N,6,SF,6,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,14,S,7,SF,9,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,E,8,SF,19,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,18,E,12,SF,44,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,18,W,12,SF,16,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,E,13,SF,8,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,S,13,SF,64,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,14,E,14,SF,18,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,14,W,14,SF,22,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,18,N,14,SF,31,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,11,E,20,SF,44,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,11,W,20,SF,37,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,10,N,22,SF,28,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,18,S,23,SF,34,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,16,W,29,SF,15,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,2,W,18,BS,72,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,4,E,24,GR,22,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,5,E,12,GR,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,16,N,8,GR,48,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,17,S,6,GR,11,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,1,E,16,LP,81,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,1,N,52,LP,24,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,1,S,15,LP,26,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,1,W,46,LP,65,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,2,E,12,LP,94,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,3,E,54,LP,96,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,3,N,59,LP,69,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,3,S,5,LP,8,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,3,W,36,LP,30,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,4,N,14,LP,6,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,5,N,29,LP,27,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,5,W,36,LP,44,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,6,E,49,LP,54,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,6,N,68,LP,49,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,6,S,50,LP,27,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,6,W,18,LP,21,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,7,E,37,LP,48,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,7,N,77,LP,54,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,7,S,45,LP,91,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,7,W,36,LP,65,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,8,S,25,LP,21,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,8,W,11,LP,3,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,9,E,110,LP,40,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,9,N,65,LP,85,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,9,S,39,LP,22,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,9,W,75,LP,35,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,14,E,91,LP,32,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,14,N,29,LP,36,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,14,S,21,LP,39,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,14,W,9,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,15,E,7,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,15,N,11,LP,6,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,15,S,20,LP,44,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,15,W,20,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,18,E,14,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,18,S,15,LP,29,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,18,W,5,LP,4,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,20,E,18,LP,3,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,20,N,21,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,20,S,41,LP,18,LP,Mineral soil,,
Washington DNR Pilot Project,Goat,20,W,3,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,16,W,0,NS,0,ND,Rock,,
Washington DNR Pilot Project,Goat,2,N,8,SF,60,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,2,S,7,SF,28,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,4,S,8,SF,89,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,4,W,7,SF,109,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,5,S,2,SF,8,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,8,E,10,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,8,N,12,SF,1,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,10,E,2,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,10,N,3,SF,1,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,10,S,10,SF,3,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,10,W,2,SF,1,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,11,E,18,SF,2,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,11,N,12,SF,5,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,11,S,3,SF,1,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,11,W,32,SF,10,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,12,E,16,SF,31,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,12,N,10,SF,15,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,12,S,6,SF,49,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,12,W,12,SF,40,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,13,E,7,SF,19,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,13,N,13,SF,53,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,13,S,12,SF,71,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,13,W,14,SF,47,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,16,E,16,SF,28,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,16,S,13,SF,36,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,17,E,15,SF,45,SF,Rock,,
Washington DNR Pilot Project,Goat,17,N,3,SF,12,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,17,W,5,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,18,N,4,SF,3,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,E,2,SF,1,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,19,N,12,SF,2,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,S,18,SF,8,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,W,32,SF,12,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,S,21,GR,45,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,W,8,GR,37,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,8,W,9,GR,45,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,E,18,GR,20,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,S,11,GR,3,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,E,11,GR,9,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,S,4,GR,28,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,W,25,GR,4,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,E,12,GR,30,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,S,8,GR,6,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,10,S,17,LP,63,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,W,19,LP,21,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,14,N,7,LP,28,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,E,35,LP,85,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,N,29,LP,51,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,W,12,LP,10,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,16,S,8,LP,3,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,N,2,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,E,19,SF,44,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,N,13,SF,62,WR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,S,14,SF,34,SF,Mineral soil,,
